"Method","Bias","MAD","MSE","MAPE_pct","RSFE","Tracking_Signal","Next_Period_Forecast"
"Ust. Duzeltme (SES)",2661,468876,373420443877,8.99,199572,0.43,5141466
"Naive Tahmin",319,472613,390932240133,9,23635,0.05,5230903
"Trend Duzeltmeli (Holt)",-82082,475856,391393596602,9.19,-6156147,-12.94,5175928
"Agirlikli HO (6)",24652,538284,486428998671,10.35,1700962,3.16,5234723
"Mevsimsel Indeksler",2080,558237,526317354762,10.45,155977,0.28,4400723
"Regresyon (Mevsimsel)",0,568594,521660288697,10.61,0,0,4306281
"Hareketli Ortalama (12)",-17795,625568,679103564260,12.17,-1121073,-1.79,5140945
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Carpimsal Ayristirma",-144111,677399,674874235131,12.85,-10808314,-15.96,NA
"Dogrusal Trend",0,671238,738550943027,12.9,0,0,5192842
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
"Toplamsal Ayristirma",-146859,679682,678044072956,12.93,-11014440,-16.21,NA
